date,dailySteps,season,month,day,double
10/4/2020,8950,fall,10,Sunday,TRUE
10/5/2020,13053,fall,10,Monday,
10/15/2020,5597,fall,10,Thursday,
10/17/2020,9297,fall,10,Saturday,TRUE
10/18/2020,11621,fall,10,Sunday,TRUE
10/19/2020,6075,fall,10,Monday,TRUE
10/20/2020,11824,fall,10,Tuesday,
10/23/2020,5584,fall,10,Friday,TRUE
10/24/2020,15080,fall,10,Saturday,TRUE
10/25/2020,12322,fall,10,Sunday,
11/7/2020,10922,fall,11,Saturday,TRUE
11/8/2020,12799,fall,11,Sunday,
11/10/2020,7888,fall,11,Tuesday,TRUE
11/11/2020,7614,fall,11,Wednesday,
11/13/2020,5529,fall,11,Friday,TRUE
11/14/2020,8979,fall,11,Saturday,TRUE
11/15/2020,11124,fall,11,Sunday,
11/17/2020,11002,fall,11,Tuesday,TRUE
11/18/2020,6085,fall,11,Wednesday,TRUE
11/19/2020,6011,fall,11,Thursday,TRUE
11/20/2020,8813,fall,11,Friday,TRUE
11/21/2020,10194,fall,11,Saturday,TRUE
11/22/2020,9192,fall,11,Sunday,TRUE
11/23/2020,8384,fall,11,Monday,
11/27/2020,11322,fall,11,Friday,TRUE
11/28/2020,9889,fall,11,Saturday,
12/5/2020,6391,winter,12,Saturday,TRUE
12/6/2020,6259,winter,12,Sunday,
12/12/2020,10547,winter,12,Saturday,TRUE
12/13/2020,8749,winter,12,Sunday,TRUE
12/14/2020,13656,winter,12,Monday,
12/16/2020,10499,winter,12,Wednesday,TRUE
12/17/2020,11013,winter,12,Thursday,
12/19/2020,9500,winter,12,Saturday,TRUE
12/20/2020,9359,winter,12,Sunday,
12/22/2020,8539,winter,12,Tuesday,
12/26/2020,6028,winter,12,Saturday,TRUE
12/27/2020,7040,winter,12,Sunday,TRUE
12/28/2020,9040,winter,12,Monday,TRUE
12/29/2020,6905,winter,12,Tuesday,TRUE
12/30/2020,9021,winter,12,Wednesday,
